id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45479758,Coming Soon New renovation photos coming April '24,176788606,Matt,,78704,30.23367,-97.77863,Entire home/apt,1499,2,58,2024-04-09,1.28,2,363,1,
45483997,"Amazing, modern, and spacious- convenient location",69578392,Cameron,,78741,30.21902,-97.6979,Private room,,1,6,2022-10-23,0.21,5,0,0,
45484516,Cottage near Lake Austin with dock privileges,368049075,Jill,,78733,30.33738,-97.84735,Entire home/apt,250,3,60,2024-11-26,1.25,1,358,9,
45493096,Rooms for lease in Brand New Beautiful Home 1,324923800,Amy,,78754,30.35657,-97.66078,Private room,,1,6,2021-10-11,0.14,9,0,0,
45511551,Peaceful Hill Country Getaway with Sunroom!,67797405,Jon & Cherry,,78736,30.25123,-97.9156,Entire home/apt,107,2,207,2024-12-02,4.16,1,19,40,
45525221,Beautiful Bungalow with HOT TUB! Clean & Cozy,384433,Daniel,,78723,30.30512,-97.67246,Entire home/apt,139,2,170,2024-11-30,4.27,2,306,44,
45531326,Castle Hill Luxury 2,32535697,Chet,,78703,30.27984,-97.75364,Entire home/apt,,2,8,2021-11-07,0.17,7,0,0,
45532574,The Marvelous Mod Yellow Condo,368587089,Sarah,,78722,30.28369,-97.71579,Entire home/apt,,30,1,2021-05-22,0.02,1,0,0,
45533428,Betty’s Bungalow at Barton Springs,368646360,Betty,,78704,30.260791778564453,-97.76327514648438,Entire home/apt,178,3,187,2024-11-17,3.71,1,218,37,
45564394,Longterm Flat- South Congress/Bouldin/Downtown,11786964,Valentina,,78704,30.24663,-97.75429,Entire home/apt,99,30,31,2024-02-24,0.61,1,180,1,
45569448,"Cozy, private room in lovely East Austin home",275372778,Jay,,78702,30.25092,-97.72663,Private room,61,1,147,2024-11-29,3.98,2,89,39,
45595809,Sparkling clean and modern one bedroom close to UT,5667549,Mikhail,,78705,30.28919,-97.75215,Entire home/apt,79,2,37,2024-06-22,0.72,1,38,13,
45596124,Casita tropical in Northwest Austin,45962911,Abigail,,78726,30.39984,-97.84983,Entire home/apt,,7,2,2021-03-21,0.04,1,0,0,
45608559,The Silicon Hills Casita-Your South Austin Stay,369429819,Ashley,,78745,30.22268,-97.77879,Entire home/apt,,1,17,2021-04-24,0.33,1,0,0,
45610693,"Clean, private room in trendy East Austin house.",275372778,Jay,,78702,30.25435,-97.73073,Private room,64,1,288,2024-12-11,5.76,2,80,70,
45631968,NEW! Private Room in trendy East Austin new build,369664136,Joslyn,,78702,30.2613,-97.70811,Private room,,2,0,,,1,0,0,
